ref_id;ref_text;ssoar_id;match_id
1;"Adams, K. B., & Sanders, S. (2004). Caregiver differences in experience of loss, grief reactions and depressive symptoms across the stages of Alzheimer""s disease: A mixed methods analy- sis. Dementia: The International Journal of Social Research and Practice, 3 (2), 193-208.
";csa-assia-200612005;not_match
2;"Amirkhanyan, A. A., & Wolf, D. A. (2003). Caregiver stress and noncaregiver stress: Exploring the pathways of psychiatric morbidity. The Gerontologist, 43, 817-827.
";csa-assia-200612005;not_match
3;"Antonucci, T. C. (1991). Attachment, social support, and coping with negative life events in mature adulthood. In E. M. Cummings, A. L. Greene, & K. H. Karraker (Eds.), Life-span developmental psychology: Perspectives on stress and coping (pp. 261-276). Hillsdale, NJ: Lawrence Erlbaum.
";csa-assia-200612005;not_match
4;"Arean, P. A., & Miranda, J. (1997). The utility of the Center for Epidemiological Studies- Depression Scale in older primary care patients. Aging and Mental Health, 1, 47-56.
";csa-assia-200612005;not_match
5;"Badger, T. A. (2001). Depression, psychological resources, and health-related quality of life in older adults 75 and above. Journal of Clinical Geropsychology, 7 (3), 189-200.
";csa-assia-200612005;not_match
6;"Ben-Zur, H. (2002). Coping, affect and aging: The roles of mastery and self-esteem. Personality and Individual Differences, 32, 357-372.
";csa-assia-200612005;not_match
7;"Bookwala, J., Yee, J. L., & Schulz, R. (2000). Caregiving and detrimental mental and physical health outcomes. In G. M. Williamson, D. R. Shaffer, & P. A. Parmelee (Eds.), Physical ill- Adams etal. / Psychosocial Resources
";csa-assia-200612005;not_match
8;"ness and depression in older adults: A handbook of theory, research and practice (pp. 93- 131). New York: Kluwer Academic.
";csa-assia-200612005;not_match
9;"Bowling, A. (1994). Social networks and social support among older people and implications for emotional well-being and psychiatric morbidity. International Review of Psychiatry, 6, 41-58.
";csa-assia-200612005;not_match
10;"Chambers, M., Ryan, A. A., & Connor, S. L. (2001). Exploring the emotional support needs and coping strategies of family carers. Journal of Psychiatric and Mental Health Nursing, 8 (2), 99-106.
";csa-assia-200612005;not_match
11;"Gallagher, D., Rose, J., Rivera, P., Lovett, S., & Thompson, L. W. (1989). Prevalence of depres- sion in family caregivers. The Gerontologist, 29, 449-456.
";csa-assia-200612005;not_match
12;"George, L., & Gwyther, L. (1986). Caregiver well-being: A multidimensional examination of family caregivers of demented adults. The Gerontologist, 26, 253-259.
";csa-assia-200612005;not_match
13;"Haley, W. E., West, C. A. C., Wadley, V. G., Ford, G. R., White, F. A., Barrett, J. J., etal. (1995). Psychological, social, and health impact of caregiving: A comparison of Black and White dementia family caregivers and non-caregivers. Psychology and Aging, 10, 540-552.
";csa-assia-200612005;not_match
14;"Hays, J. C., Steffens, D. C., Flint, E. P., Bosworth, H. B., & George, L. K. (2001). Does social support buffer functional decline in elderly patients with unipolar depression? American Journal of Psychiatry, 158, 1850-1855.
";csa-assia-200612005;not_match
15;"Hepburn, K. W., Lewis, M., Sherman, C. W., & Tornatore, J. (2003). The Savvy Caregiver Pro- gram: Developing and testing a transportable dementia family caregiver training program. The Gerontologist, 43, 908-915.
";csa-assia-200612005;not_match
16;"Hepburn, K. W., Tornatore, J., Center, B., & Ostwald, S. W. (2001). Dementia family caregiver training: Affecting beliefs about caregiving and caregiver outcomes. Journal of the American Geriatrics Society, 49, 450-457.
";csa-assia-200612005;not_match
17;"Hughes, C. P., Berg, L., Danziger, W. L., Coben, L. A., & Martin, R. L. (1982). A new clinical scale for the staging of dementia. British Journal of Psychiatry, 140, 566-572.
";csa-assia-200612005;not_match
18;"Jang, Y., Borenstein-Graves, A., Haley, W. E., Small, B. J., & Mortimer, J. A. (2003). Determi- nants of a sense of mastery in African American and White older adults. Journal of Gerontol- ogy: Social Sciences, 58B, S221-S224.
";csa-assia-200612005;not_match
19;"Jang, Y., Haley, W. E., Small, B. J., & Mortimer, J. A. (2002). The role of mastery and social resources in the associations between disability and depression in later life. The Gerontolo- gist, 42 (6), 807-813.
";csa-assia-200612005;not_match
20;"Lorensini, S., & Bates, G. W. (1997). Health, psychological, and social consequences of caring for a person with dementia. Australian Journal of Aging, 16, 198-202.
";csa-assia-200612005;not_match
